
Generated 20 evaluation graphs for min_cost_flow.

Generated 40 evaluation graphs for min_cost_flow.

Generated 60 evaluation graphs for min_cost_flow.

Generated 80 evaluation graphs for min_cost_flow.

Generated 100 evaluation graphs for min_cost_flow.

Generated 120 evaluation graphs for min_cost_flow.

Generated 140 evaluation graphs for min_cost_flow.

Generated 160 evaluation graphs for min_cost_flow.

Generated 180 evaluation graphs for min_cost_flow.

Generated 200 evaluation graphs for min_cost_flow.

Generated 220 evaluation graphs for min_cost_flow.

Generated 240 evaluation graphs for min_cost_flow.

Generated 260 evaluation graphs for min_cost_flow.

Generated 280 evaluation graphs for min_cost_flow.

Generated 300 evaluation graphs for min_cost_flow.

Generated 320 evaluation graphs for min_cost_flow.

Generated 340 evaluation graphs for min_cost_flow.

Generated 360 evaluation graphs for min_cost_flow.

Generated 380 evaluation graphs for min_cost_flow.

Generated 400 evaluation graphs for min_cost_flow.

Generated 420 evaluation graphs for min_cost_flow.

Generated 440 evaluation graphs for min_cost_flow.

Generated 460 evaluation graphs for min_cost_flow.

Generated 480 evaluation graphs for min_cost_flow.

Generated 500 evaluation graphs for min_cost_flow.

Generated 520 evaluation graphs for min_cost_flow.

Generated 540 evaluation graphs for min_cost_flow.

Generated 560 evaluation graphs for min_cost_flow.

Evaluating attack limit K=1
K=1, n=100, m=800, rep=16 | Opt=431.00 | Pred=431.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=800, rep=17 | Opt=521.00 | Pred=477.00 | Gap=0.0845 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=18 | Opt=530.00 | Pred=514.00 | Gap=0.0302 | Hamming=2 | Exact=0
K=1, n=100, m=800, rep=19 | Opt=474.00 | Pred=418.00 | Gap=0.1181 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=0 | Opt=366.00 | Pred=358.00 | Gap=0.0219 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=1 | Opt=501.00 | Pred=500.00 | Gap=0.0020 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=2 | Opt=215.00 | Pred=210.00 | Gap=0.0233 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=3 | Opt=172.00 | Pred=154.00 | Gap=0.1047 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=4 | Opt=156.00 | Pred=144.00 | Gap=0.0769 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=5 | Opt=62.00 | Pred=59.00 | Gap=0.0484 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=6 | Opt=150.00 | Pred=146.00 | Gap=0.0267 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=7 | Opt=225.00 | Pred=195.00 | Gap=0.1333 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=8 | Opt=41.00 | Pred=37.00 | Gap=0.0976 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=9 | Opt=406.00 | Pred=406.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=400, rep=10 | Opt=497.00 | Pred=483.00 | Gap=0.0282 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=11 | Opt=41.00 | Pred=36.00 | Gap=0.1220 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=12 | Opt=195.00 | Pred=195.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=400, rep=13 | Opt=108.00 | Pred=108.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=400, rep=14 | Opt=404.00 | Pred=373.00 | Gap=0.0767 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=15 | Opt=69.00 | Pred=63.00 | Gap=0.0870 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=16 | Opt=54.00 | Pred=45.00 | Gap=0.1667 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=17 | Opt=142.00 | Pred=142.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=400, rep=18 | Opt=160.00 | Pred=152.00 | Gap=0.0500 | Hamming=2 | Exact=0
K=1, n=200, m=400, rep=19 | Opt=270.00 | Pred=270.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=500, rep=0 | Opt=409.00 | Pred=354.00 | Gap=0.1345 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=1 | Opt=409.00 | Pred=341.00 | Gap=0.1663 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=2 | Opt=84.00 | Pred=84.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=500, rep=3 | Opt=322.00 | Pred=322.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=500, rep=4 | Opt=228.00 | Pred=222.00 | Gap=0.0263 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=5 | Opt=110.00 | Pred=101.00 | Gap=0.0818 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=6 | Opt=60.00 | Pred=54.00 | Gap=0.1000 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=7 | Opt=378.00 | Pred=351.00 | Gap=0.0714 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=8 | Opt=350.00 | Pred=350.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=500, rep=9 | Opt=536.00 | Pred=473.00 | Gap=0.1175 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=10 | Opt=349.00 | Pred=349.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=200, m=500, rep=11 | Opt=319.00 | Pred=272.00 | Gap=0.1473 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=12 | Opt=182.00 | Pred=133.00 | Gap=0.2692 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=13 | Opt=110.00 | Pred=85.00 | Gap=0.2273 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=14 | Opt=632.00 | Pred=631.00 | Gap=0.0016 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=15 | Opt=130.00 | Pred=106.00 | Gap=0.1846 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=16 | Opt=71.00 | Pred=67.00 | Gap=0.0563 | Hamming=2 | Exact=0
K=1, n=200, m=500, rep=17 | Opt=413.00 | Pred=413.00 | Gap=0.0000 | Hamming=0 | Exact=1
