Solved n=75, m=188, budget=1, density=2.51, rep=8, flow_demand=1, objective=31.00, mip_solve_time=0.0374
Solved n=75, m=188, budget=1, density=2.51, rep=9, flow_demand=1, objective=33.00, mip_solve_time=0.0355
Solved n=75, m=188, budget=1, density=2.51, rep=16, flow_demand=1, objective=30.00, mip_solve_time=0.0372
Solved n=75, m=188, budget=1, density=2.51, rep=17, flow_demand=1, objective=58.00, mip_solve_time=0.0495
Solved n=75, m=188, budget=1, density=2.51, rep=18, flow_demand=1, objective=58.00, mip_solve_time=0.0343
Solved n=75, m=188, budget=1, density=2.51, rep=19, flow_demand=1, objective=34.00, mip_solve_time=0.0362
Solved n=75, m=188, budget=1, density=2.51, rep=20, flow_demand=1, objective=39.00, mip_solve_time=0.0481
Solved n=75, m=188, budget=1, density=2.51, rep=22, flow_demand=1, objective=30.00, mip_solve_time=0.0361
Solved n=75, m=188, budget=1, density=2.51, rep=25, flow_demand=1, objective=32.00, mip_solve_time=0.0354
Solved n=75, m=188, budget=1, density=2.51, rep=27, flow_demand=1, objective=32.00, mip_solve_time=0.0353
Solved n=75, m=188, budget=1, density=2.51, rep=32, flow_demand=1, objective=38.00, mip_solve_time=0.0352
Solved n=75, m=188, budget=1, density=2.51, rep=34, flow_demand=1, objective=24.00, mip_solve_time=0.0368
Solved n=75, m=188, budget=1, density=2.51, rep=35, flow_demand=1, objective=29.00, mip_solve_time=0.0358
Solved n=75, m=188, budget=1, density=2.51, rep=37, flow_demand=1, objective=30.00, mip_solve_time=0.0356
Solved n=75, m=188, budget=1, density=2.51, rep=42, flow_demand=1, objective=27.00, mip_solve_time=0.0361
Solved n=75, m=188, budget=1, density=2.51, rep=43, flow_demand=1, objective=25.00, mip_solve_time=0.0362
Solved n=75, m=188, budget=1, density=2.51, rep=44, flow_demand=1, objective=36.00, mip_solve_time=0.0822
Solved n=75, m=188, budget=1, density=2.51, rep=46, flow_demand=1, objective=43.00, mip_solve_time=0.0355
Solved n=75, m=188, budget=1, density=2.51, rep=49, flow_demand=1, objective=22.00, mip_solve_time=0.0365
Solved n=75, m=300, budget=1, density=4.00, rep=0, flow_demand=1, objective=38.00, mip_solve_time=0.0974
