node,lat,lon,supply
183,31.2069,-82.3369,0
184,31.2079,-82.3612,0
185,31.2121,-82.3558,0
186,31.2228,-85.3606,0
187,31.2285,-85.4321,0
188,31.2425,-85.6352,0
189,31.253,-85.3893,0
190,31.249000000000002,-85.4245,0
191,31.3071,-85.829,0
192,40.9582,-80.6431,0
193,31.3244,-92.4622,0
194,31.3834,-85.7019,0
195,31.419,-87.0061,0
196,32.7307,-117.1705,0
197,35.5417,-82.9179,0
198,31.448,-85.65799999999999,0
199,31.4501,-83.5306,0
200,31.5716,-84.1114,0
201,31.7775,-106.4424,0
202,31.7782,-81.3785,0
203,31.8175,-106.4045,0
204,31.8529,-81.5795,0
205,31.8869,-81.6306,0
206,31.96,-81.3289,0
207,31.9035,-81.5996,0
208,32.0045,-81.2832,0
209,32.055,-97.0933,0
210,32.0741,-81.2459,0
211,32.1358,-81.6226,0
212,40.5367,-89.0244,0
213,32.1811,-81.4603,0
214,32.2273,-99.7591,0
215,40.146,-88.2837,0
216,32.256,-81.7125,0
217,32.2652,-106.7316,0
218,32.2752,-90.2073,0
219,32.2762,-90.1772,0
220,32.2825,-106.881,0
221,32.2893,-90.2495,0
222,32.3077,-81.8735,0
223,32.3106,-86.3371,0
224,32.3142,-84.7994,0
225,32.3367,-83.7675,0
226,32.3442,-88.7667,0
227,32.3479,-106.7697,0
228,32.3629,-86.2136,0
229,32.367,-86.3222,0
230,32.3833,-88.6368,0
231,32.4051,-84.9241,0
232,32.4132,-90.1483,0
233,32.4189,-93.7497,0
234,32.4349,-94.8277,0
235,32.4465,-100.5045,0
236,32.4523,-99.7861,0
237,32.4534,-88.3919,0
238,32.4556,-85.0103,0
239,32.4561,-93.8444,0
240,32.4561,-93.8444,0
241,32.4595,-99.8479,0
242,32.4752,-85.0301,0
243,32.4829,-99.7695,0
244,32.4872,-85.6364,0
245,32.4882,-85.0337,0
246,32.4966,-93.7595,0
247,32.5063,-84.9499,0
248,32.5103,-93.7422,0
249,32.5349,-83.1311,0
250,32.5392,-93.6316,0
251,32.5402,-84.8716,0
252,32.5409,-93.7918,0
253,32.5449,-84.9608,0
254,32.5462,-83.7438,0
255,32.5541,-93.7814,0
256,32.5585,-83.8836,0
257,37.7673,-122.404,0
258,39.8948,-86.0541,0
259,33.3183,-80.548,0
260,32.6165,-85.4019,0
261,32.6236,-83.37,0
262,32.6277,-80.8836,0
263,32.6422,-96.8233,0
264,32.6436,-85.3527,0
265,32.6596,-83.7441,0
266,32.6618,-96.7266,0
267,32.667,-97.3206,0
268,32.6662,-97.241,0
269,32.6865,-97.4642,0
270,32.6991,-96.6276,0
271,32.7212,-97.5699,0
272,32.7241,-117.1553,0
273,32.7294,-117.1736,0
274,32.7382,-97.4813,0
275,32.7466,-97.3195,0
276,32.7549,-83.7101,0
277,32.7587,-117.2036,0
278,32.7591,-117.2036,0
279,32.7591,-117.20299999999999,0
280,32.7598,-97.2141,0
281,32.7687,-96.8053,0
282,32.7711,-96.8104,0
283,32.7717,-117.1316,0
284,32.7785,-117.1122,0
285,32.7789,-96.78200000000001,0
286,32.7901,-80.0319,0
287,32.8007,-79.9461,0
288,32.814,-79.8497,0
289,32.8192,-111.6835,0
290,32.8231,-96.6297,0
291,32.8396,-97.3127,0
292,32.8568,-83.64,0
293,37.2501,-93.2245,0
294,32.8832,-80.0198,0
295,32.885999999999996,-97.3172,0
296,32.8941,-79.9855,0
297,32.8983,-80.0206,0
298,32.9023,-79.9856,0
299,32.9025,-117.2238,0
300,32.9033,-80.0238,0
301,32.9242,-96.7639,0
302,32.9079,-96.8977,0
303,32.96,-83.8139,0
304,33.058,-84.9503,0
305,32.6487,-88.1934,0
306,33.1715,-87.525,0
307,33.2104,-97.1649,0
308,33.2102,-97.1653,0
309,33.2119,-97.1667,0
310,42.5276,-88.9751,0
311,33.3936,-86.7849,0
312,41.6185,-87.6871,0
313,33.3742,-82.0309,0
314,33.4064,-82.0266,0
315,33.4279,-112.0364,0
316,33.4423,-86.7304,0
317,33.4616,-112.1082,0
318,33.4374,-112.0378,0
319,33.4703,-94.0431,0
320,33.48,-93.9866,0
321,33.48,-93.9866,0
322,33.4806,-112.113,0
323,33.4867,-89.7645,0
324,33.4931,-82.0843,0
325,33.5186,-94.044,0
326,33.5216,-86.8265,0
327,33.5285,-86.8043,0
328,33.5404,-84.2657,0
329,33.5446,-86.64299999999999,0
330,33.5466,-117.1789,0
331,33.5477,-86.7492,0
332,33.5479,-86.7801,0
333,33.5687,-81.9216,0
334,33.4908,-81.9365,0
335,33.5736,-86.8165,0
